EventName,캐릭터/아이템 이름,대사,선택지
전력 공급 장치,주인공,전선에 전기가 흐르고 있어. 방금 전에 친 벼락의 영향인 것 같아.,
,,내가 갑자기 작동하기 시작한 것도 아마 방금 전의 벼락 때문이겠지.\n…이 주변에 나처럼 작동을 시작하게 된 다른 로봇은 없는 걸까?,
end,,,
,,,
공구들이 놓인 선반,주인공,평범한 철제 선반이야.,
,,공구들이 많이 놓여있지만@ 전부 녹슬어서 쓸모는 없겠어.,
end,,,
,,,
탁자,주인공,평범한 플라스틱 탁자야.,
end,,,
,,,
안젤라의 개발 일지,주인공,"낡은 종이 노트야. 제목은 ""개발 일지"". 작성자는 '안젤라'라는 사람인 것 같아.",
,,곰팡이 때문에 읽을 수 있는 부분이 많아 보이진 않지만… 어쩌면 여기에 나에 대한 내용이 적혀 있을지도 몰라.,
,,…...\n…...\n“360915 개발 일지. 혼자서 로봇을 만드는 건 쉬운 작업이 아니었다. 하지만 ■■■■■를 만들어 주겠다는 생각으로 여기까지 ■■■■.“,
,,"""이제 남은 작업은 <감정 시스템>을 손 봐서 설치하는 것만 남은 상태이다. 요새야 AI들도 다들 감정이 있다지만@ 그래도 이 로봇은 희로애락■■■■■ 정말 사람처럼 감정을 느낄 수 있도록 ■■ ■■ 목표로 하고 있다.""",
,,"""앞으로 서너 달 후면 완성품을 가동할 수 있을 것으로 보인다.""",
,,…...\n“361208 개발 일지. 드디어 감정 시스템의 ■■■ 끝이 났다. 기존 계획보다 빨리 진행시켰다. 이제 소프트웨어 설치 후에@ 잘 작동하는지만 확인하면 끝.“,
,,"""한 가지 마음에 걸리는 건 역시나 ■■■■■ 추가로 사람의 ■■■ 닮게 설계한 부분인데@ 이 부분은 로봇을 가동시킨 후에 추가로 실제 ■■■■ ■■■■■ 그 영향력을 관찰해 가며 조절할 필요가 있을 것으로 보인다.""",
,,…여기서부터 내용이 끊겨있어.,
,,감정 시스템의 소프트웨어 설치만 하면 끝이라고 적혀있는데... 설마 이 후로 개발을 멈춘 건가?,
,,"""...데이터 검사 시작. ‘감정 시스템’ 검색 중…""",
,,......\n…,
,,"""검색 결과. 해당 사항 없음. 업데이트가 필요한 항목입니다.""",
,,…...\n안젤라는… 어째서 마지막 단계에서 개발을 중단한 거지?,
,,...어쨌든 미완성된 부분을 채우려면 안젤라를 찾으러 가는 수밖에 없어.,
,,안젤라를 만나면@ 나도 다른 로봇들처럼 <감정 시스템>을 지닌 로봇이 될 수 있을 거야.,
end,,,
,,,
액자,주인공,엄마와 아들로 보이는 사람들의 사진이 담긴 액자야.,
,,액자를 챙길까?,
end,,,
,,,
낡은 컴퓨터,주인공,이 컴퓨터는… 더 이상 작동하지 않는 것 같네.,
end,,,
,,,
낡은 난로,주인공,낡은 난로. 먼지가 두텁게 쌓여 있어.,
end,,,
,,,
창문,주인공,천둥번개를 동반한 폭우가 쏟아지고 있어.,
,,비 때문에 아무것도 보이지 않아... 자세한 상황은 밖으로 나가야 알 수 있을 것 같아.,
end,,,
,,,
나가는 문1,주인공,밖으로 나갈까?,응
,,ㅎ,응
end,,,
,,,
나가는 문2,주인공,아직 좀 더 창고 안을 살펴볼 수 있을 것 같아.,
end,,,
